Top queries,Last 28 days Clicks,Same period last year Clicks,Last 28 days Impressions,Same period last year Impressions,Last 28 days CTR,Same period last year CTR,Last 28 days Position,Same period last year Position
eu considers legal action,0,115,0,297,0%,38.72%,0,1
plane,21,114,1530,5678,1.37%,2.01%,2.15,2.22
ukraine war live,8,114,143,1209,5.59%,9.43%,6.59,4.08
plane shot down today,0,114,0,1019,0%,11.19%,0,1.7
latest news on ukraine,13,114,210,728,6.19%,15.66%,3.78,4.7
russia warns trump,0,114,0,425,0%,26.82%,0,1.42
transgender,5,113,301,5731,1.66%,1.97%,2.18,3.48
sven liebich,0,113,0,1445,0%,7.82%,0,5.37
70000 men in groupchat,0,113,0,290,0%,38.97%,0,2.25
dolomites,0,112,0,4596,0%,2.44%,0,2.57
who controls the panama canal,0,112,0,3571,0%,3.14%,0,7.55
jeff bezos cartoon washington post,0,112,0,1483,0%,7.55%,0,3.65
plane crash azerbaijan,0,112,0,1327,0%,8.44%,0,5.22
telegraph brain dead women,0,112,0,141,0%,79.43%,0,1
macron wife age difference,0,111,0,7693,0%,1.44%,0,7.59
plane crashes,0,111,0,4093,0%,2.71%,0,1.26
70000 men rape chat,0,111,0,232,0%,47.84%,0,2.48
david lynch,0,110,0,7429,0%,1.48%,0,4.95
taliban,17,110,1532,4325,1.11%,2.54%,4.38,8.13
malibu fires,0,110,0,2303,0%,4.78%,0,1.06
jimmy carter funeral,0,110,0,1608,0%,6.84%,0,1.32
los angeles mayor,0,110,0,952,0%,11.55%,0,1.49
"estonia deploys navy to protect power cables after suspected russian 
sabotage",0,110,0,711,0%,15.47%,0,4.49
ceasefire deal,0,109,0,2561,0%,4.26%,0,2.72
france elon musk,0,109,0,2255,0%,4.83%,0,5.68
plane crash korea,0,109,0,1517,0%,7.19%,0,1.97
india bangladesh,0,108,0,678,0%,15.93%,0,3.89
rape group telegram,0,108,0,545,0%,19.82%,0,2.32
michael whitbread,0,108,0,457,0%,23.63%,0,1.25
israel war,0,107,0,2285,0%,4.68%,0,2.35
azerbaijan airlines shot down,0,107,0,878,0%,12.19%,0,4.9
macron elon musk,0,107,0,850,0%,12.59%,0,3.98
rape telegram link,7,106,123,930,5.69%,11.4%,10.02,2.47
germany telegram group,0,106,0,493,0%,21.5%,0,4.9
70000 men germany,0,106,0,201,0%,52.74%,0,1.6
train sex,0,105,0,2974,0%,3.53%,0,8.22
blanca ojanguren garcia,0,105,0,2366,0%,4.44%,0,5.42
elon musk france,0,105,0,1539,0%,6.82%,0,5.24
asma al assad leukemia,0,105,0,452,0%,23.23%,0,1.51
migrant mother birth dinghy lanzarote,0,105,0,275,0%,38.18%,0,1.03
german woman given harsher sentence,3,105,3,220,100%,47.73%,2.33,3.15
skiing,0,105,0,150,0%,70%,0,3.29
maria corina machado,0,104,0,2814,0%,3.7%,0,3.71
sex chat telegram,0,104,0,1584,0%,6.57%,0,10.52
trump ceasefire gaza,0,104,0,1118,0%,9.3%,0,3.57
brad pitt ai scam,0,104,0,668,0%,15.57%,0,2.22
muan airport,0,103,0,4657,0%,2.21%,0,3.72
muan international airport,0,103,0,3816,0%,2.7%,0,3.28
donald trump official portrait 2025,0,103,0,2770,0%,3.72%,0,5.1
russia shot down plane,0,103,0,1443,0%,7.14%,0,3.71
newcastle funnel-web spider,0,103,0,247,0%,41.7%,0,1.41
boris johnson,0,102,0,8430,0%,1.21%,0,4.36
al assad,0,102,0,2194,0%,4.65%,0,4.05
alice weidel grandfather,2,102,24,995,8.33%,10.25%,4.75,2.4
panama canal,0,101,0,22791,0%,0.44%,0,9.27
ukraine live,10,101,584,1235,1.71%,8.18%,8.63,4.27
